"dry_eyes","spotting","brain_fog","memory_lapse","nausea","dry_skin","vertigo","anxiety","bloating","chills","breast_pain","fatigue","depression","breast_swelling","insomnia","headaches","muscle_tension","tingling_extremeties","irregular_beat","brittle_nails","diarrhea","joint_pain","ringing_ears","incontinence","sex_drive","mood_swings","heartburn","constipation","facial_hair","cramps","dizzy","allergies","hair_loss","vaginal_dryness","itchy_skin","ovulation_pain","ovulation","odor","uti","yeast_infection","painful_intercourse","vomiting"
0,0,0,0,0,0.471791825887948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295461642458312,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.625428370075945,0,0,0,0.187206490628851,0,0,0,0.48808276457646,0.104352765189064,0,0,0,0,0,0,0,0,0,0,0,0,0.202192133672488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.625428370075945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374042293554424,0,0,0,0,0,0,0,0,0,0.479894820599638,0,0,0,0,0,0,0,0,0,0,0.740885048429624
0.471791825887948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498549872541006,0,0,0,0,0,0,0,0,0,0,0,0,0.13014714625908,0,0.68469190376892,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771463644982677,0,0,0,0,0,0,0,0,0,0,0
0,0,0.187206490628851,0,0,0,0,0,0,0,0,0,0.558720998116993,0,0,0,0,0,0,0,0,0,0,0,0,0.306010992891146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.312431157210508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340459327760675,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169665974288586,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.36299424823272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132209696166735,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.48808276457646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117678447318289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.104352765189064,0,0,0,0,0.558720998116993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374594640418499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.312431157210508,0,1.36299424823272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299433229540646,0,0,0,0,0,0,0,0,0,0,0
